LEVEL,R_BITS,T1,decoder,nflips,av_errors_left,max_errors_left,n_tests
1,9201,134,BGF,NA,310.736000,560.000000,10000
1,9201,134,PickyFix,5,419.839900,597.000000,10000
1,9201,134,PickyFix,10,396.765200,575.000000,10000
1,9201,134,PickyFix,15,393.858500,587.000000,10000
1,9201,134,PickyFix,20,376.890900,549.000000,10000
1,9201,134,PickyFix,25,383.751300,584.000000,10000
1,9201,134,PickyFix,30,378.986900,553.000000,10000
1,9201,134,PickyFix,35,377.560800,574.000000,10000
1,9201,134,PickyFix,40,377.612200,573.000000,10000
1,9201,134,PickyFix,45,381.713700,571.000000,10000
1,9201,134,PickyFix,50,385.141000,571.000000,10000
1,9201,134,PickyFix,55,390.569600,570.000000,10000
1,9201,134,PickyFix,60,395.001200,589.000000,10000
1,9201,134,PickyFix,65,400.391000,607.000000,10000
1,9201,134,PickyFix,70,405.428800,581.000000,10000
1,9201,134,PickyFix,75,409.052700,602.000000,10000
1,9201,134,PickyFix,80,413.006600,619.000000,10000
1,9201,134,PickyFix,85,420.188500,612.000000,10000
1,9201,134,PickyFix,90,426.882000,637.000000,10000
1,9201,134,PickyFix,95,431.099400,606.000000,10000
1,9201,134,PickyFix,100,435.504500,619.000000,10000
1,9201,134,PickyFix,105,437.910100,622.000000,10000
1,9201,134,PickyFix,110,443.886200,623.000000,10000
1,9201,134,PickyFix,115,451.230500,629.000000,10000
1,9201,134,PickyFix,120,454.473800,637.000000,10000
1,9201,134,PickyFix,125,455.568300,627.000000,10000
1,9201,134,PickyFix,130,457.489700,628.000000,10000
1,9301,134,BGF,NA,244.652500,448.000000,10000
1,9301,134,PickyFix,5,341.257900,497.000000,10000
1,9301,134,PickyFix,10,322.898800,492.000000,10000
1,9301,134,PickyFix,15,324.280300,492.000000,10000
1,9301,134,PickyFix,20,307.849900,472.000000,10000
1,9301,134,PickyFix,25,307.205600,473.000000,10000
1,9301,134,PickyFix,30,308.206400,502.000000,10000
1,9301,134,PickyFix,35,307.690800,467.000000,10000
1,9301,134,PickyFix,40,307.897300,479.000000,10000
1,9301,134,PickyFix,45,310.336800,497.000000,10000
