decoder,n_iterations,level,error_weight,r_bits,n_failures,n_tests,dfr
BGF,5,1,155,10001,99954,100000,0.99954
BGF,5,1,155,10101,99747,100000,0.99747
BGF,5,1,155,10201,98977,100000,0.98977
BGF,5,1,155,10301,97122,100000,0.97122
BGF,5,1,155,10401,93956,100000,0.93956
BGF,5,1,155,10501,89706,100000,0.89706
BGF,5,1,155,10601,85129,100000,0.85129
BGF,5,1,155,10701,79449,100000,0.79449
BGF,5,1,155,10801,72131,100000,0.72131
BGF,5,1,155,10901,61771,100000,0.61771
BGF,5,1,155,11001,49048,100000,0.49048
BGF,5,1,155,11101,36049,100000,0.36049
BGF,5,1,155,11201,249107,1000000,0.249107
BGF,5,1,155,11301,160837,1000000,0.160837
BGF,5,1,155,11401,98074,1000000,0.098074
BGF,5,1,155,11501,57930,1000000,0.05793
BGF,5,1,155,11601,36158,1000000,0.036158
BGF,5,1,155,11701,24504,1000000,0.024504
BGF,5,1,155,11801,17994,1000000,0.017994
BGF,5,1,155,11901,15015,1000000,0.015015
BGF,5,1,155,12001,14466,1000000,0.014466
BGF,5,1,155,12101,16984,1000000,0.016984
BGF,5,1,155,12201,21156,1000000,0.021156
BGF,5,1,155,12301,26343,1000000,0.026343
BGF,5,1,155,12401,32265,1000000,0.032265
BGF,5,1,153,10001,99680,100000,0.9968
BGF,5,1,153,10101,98437,100000,0.98437
BGF,5,1,153,10201,95221,100000,0.95221
BGF,5,1,153,10301,89823,100000,0.89823
BGF,5,1,153,10401,81938,100000,0.81938
BGF,5,1,153,10501,72825,100000,0.72825
BGF,5,1,153,10601,63924,100000,0.63924
BGF,5,1,153,10701,55630,100000,0.5563
BGF,5,1,153,10801,46561,100000,0.46561
BGF,5,1,153,10901,35117,100000,0.35117
BGF,5,1,153,11001,23936,100000,0.23936
BGF,5,1,153,11101,15171,100000,0.15171
BGF,5,1,153,11201,87389,1000000,0.087389
BGF,5,1,153,11301,48126,1000000,0.048126
BGF,5,1,153,11401,25135,1000000,0.025135
BGF,5,1,153,11501,12773,1000000,0.012773
BGF,5,1,153,11601,6723,1000000,0.006723
BGF,5,1,153,11701,3899,1000000,0.003899
BGF,5,1,153,11801,2747,1000000,0.002747
BGF,5,1,153,11901,2066,1000000,0.002066
BGF,5,1,153,12001,1796,1000000,0.001796
BGF,5,1,153,12101,2089,1000000,0.002089
BGF,5,1,153,12201,2818,1000000,0.002818
BGF,5,1,153,12301,3726,1000000,0.003726
BGF,5,1,153,12401,4785,1000000,0.004785
BGF,5,1,150,10001,96506,100000,0.96506
BGF,5,1,150,10101,88494,100000,0.88494
BGF,5,1,150,10201,74843,100000,0.74843
BGF,5,1,150,10301,60077,100000,0.60077
BGF,5,1,150,10401,46675,100000,0.46675
BGF,5,1,150,10501,34860,100000,0.3486
BGF,5,1,150,10601,24911,100000,0.24911
BGF,5,1,150,10701,17825,100000,0.17825
BGF,5,1,150,10801,12426,100000,0.12426
BGF,5,1,150,10901,7504,100000,0.07504
BGF,5,1,150,11001,4027,100000,0.04027
BGF,5,1,150,11101,1847,100000,0.01847
BGF,5,1,150,11201,8266,1000000,0.008266
BGF,5,1,150,11301,3355,1000000,0.003355
BGF,5,1,150,11401,1368,1000000,0.001368
BGF,5,1,150,11501,585,1000000,0.000585
BGF,5,1,150,11601,221,1000000,0.000221
BGF,5,1,150,11701,95,1000000,9.5e-05
BGF,5,1,150,11801,56,1000000,5.6e-05
BGF,5,1,150,11901,37,1000000,3.7e-05
BGF,5,1,150,12001,43,1000000,4.3e-05
BGF,5,1,150,12101,26,1000000,2.6e-05
BGF,5,1,150,12201,39,1000000,3.9e-05
BGF,5,1,150,12301,58,1000000,5.8e-05
BGF,5,1,150,12401,80,1000000,8e-05
BGF,5,1,151,10001,98284,100000,0.98284
BGF,5,1,151,10101,93823,100000,0.93823
BGF,5,1,151,10201,84158,100000,0.84158
BGF,5,1,151,10301,72327,100000,0.72327
BGF,5,1,151,10401,60220,100000,0.6022
BGF,5,1,151,10501,47721,100000,0.47721
BGF,5,1,151,10601,36640,100000,0.3664
BGF,5,1,151,10701,28815,100000,0.28815
BGF,5,1,151,10801,21123,100000,0.21123
BGF,5,1,151,10901,14279,100000,0.14279
BGF,5,1,151,11001,8082,100000,0.08082
BGF,5,1,151,11101,4202,100000,0.04202
BGF,5,1,151,11201,19990,1000000,0.01999
BGF,5,1,151,11301,9263,1000000,0.009263
BGF,5,1,151,11401,4147,1000000,0.004147
BGF,5,1,151,11501,1844,1000000,0.001844
BGF,5,1,151,11601,782,1000000,0.000782
BGF,5,1,151,11701,400,1000000,0.0004
BGF,5,1,151,11801,244,1000000,0.000244
BGF,5,1,151,11901,171,1000000,0.000171
BGF,5,1,151,12001,135,1000000,0.000135
BGF,5,1,151,12101,153,1000000,0.000153
BGF,5,1,151,12201,220,1000000,0.00022
BGF,5,1,151,12301,255,1000000,0.000255
BGF,5,1,151,12401,403,1000000,0.000403
