decoder,n_iterations,level,error_weight,r_bits,n_failures,n_tests,dfr
PickyFix,2,1,160,10001,100000,100000,1.0
PickyFix,2,1,160,10101,100000,100000,1.0
PickyFix,2,1,160,10201,100000,100000,1.0
PickyFix,2,1,160,10301,100000,100000,1.0
PickyFix,2,1,160,10401,100000,100000,1.0
PickyFix,2,1,160,10501,99999,100000,0.99999
PickyFix,2,1,160,10601,99989,100000,0.99989
PickyFix,2,1,160,10701,99943,100000,0.99943
PickyFix,2,1,160,10801,99765,100000,0.99765
PickyFix,2,1,160,10901,99313,100000,0.99313
PickyFix,2,1,160,11001,98319,100000,0.98319
PickyFix,2,1,160,11101,96639,100000,0.96639
PickyFix,2,1,160,11201,936168,1000000,0.936168
PickyFix,2,1,160,11301,890371,1000000,0.890371
PickyFix,2,1,160,11401,825101,1000000,0.825101
PickyFix,2,1,160,11501,738480,1000000,0.73848
PickyFix,2,1,160,11601,637676,1000000,0.637676
PickyFix,2,1,160,11701,532811,1000000,0.532811
PickyFix,2,1,160,11801,428583,1000000,0.428583
PickyFix,2,1,160,11901,330463,1000000,0.330463
PickyFix,2,1,160,12001,239011,1000000,0.239011
PickyFix,2,1,160,12101,162724,1000000,0.162724
PickyFix,2,1,160,12201,103699,1000000,0.103699
PickyFix,2,1,160,12301,62454,1000000,0.062454
PickyFix,2,1,160,12401,36673,1000000,0.036673
PickyFix,3,1,160,10001,100000,100000,1.0
PickyFix,3,1,160,10101,100000,100000,1.0
PickyFix,3,1,160,10201,99999,100000,0.99999
PickyFix,3,1,160,10301,99988,100000,0.99988
PickyFix,3,1,160,10401,99886,100000,0.99886
PickyFix,3,1,160,10501,99400,100000,0.994
PickyFix,3,1,160,10601,98263,100000,0.98263
PickyFix,3,1,160,10701,95453,100000,0.95453
PickyFix,3,1,160,10801,90476,100000,0.90476
PickyFix,3,1,160,10901,83170,100000,0.8317
PickyFix,3,1,160,11001,73615,100000,0.73615
PickyFix,3,1,160,11101,62220,100000,0.6222
PickyFix,3,1,160,11201,504753,1000000,0.504753
PickyFix,3,1,160,11301,388698,1000000,0.388698
PickyFix,3,1,160,11401,287472,1000000,0.287472
PickyFix,3,1,160,11501,205241,1000000,0.205241
PickyFix,3,1,160,11601,140064,1000000,0.140064
PickyFix,3,1,160,11701,89770,1000000,0.08977
PickyFix,3,1,160,11801,53440,1000000,0.05344
PickyFix,3,1,160,11901,30303,1000000,0.030303
PickyFix,3,1,160,12001,16186,1000000,0.016186
PickyFix,3,1,160,12101,8546,1000000,0.008546
PickyFix,3,1,160,12201,4054,1000000,0.004054
PickyFix,3,1,160,12301,1954,1000000,0.001954
PickyFix,3,1,160,12401,869,1000000,0.000869
PickyFix,4,1,160,10001,100000,100000,1.0
PickyFix,4,1,160,10101,99999,100000,0.99999
PickyFix,4,1,160,10201,99953,100000,0.99953
PickyFix,4,1,160,10301,99677,100000,0.99677
PickyFix,4,1,160,10401,98628,100000,0.98628
PickyFix,4,1,160,10501,95610,100000,0.9561
PickyFix,4,1,160,10601,89690,100000,0.8969
PickyFix,4,1,160,10701,80014,100000,0.80014
PickyFix,4,1,160,10801,67547,100000,0.67547
PickyFix,4,1,160,10901,54366,100000,0.54366
PickyFix,4,1,160,11001,41318,100000,0.41318
PickyFix,4,1,160,11101,29556,100000,0.29556
PickyFix,4,1,160,11201,202901,1000000,0.202901
PickyFix,4,1,160,11301,134230,1000000,0.13423
PickyFix,4,1,160,11401,85047,1000000,0.085047
PickyFix,4,1,160,11501,51571,1000000,0.051571
PickyFix,4,1,160,11601,29323,1000000,0.029323
PickyFix,4,1,160,11701,15722,1000000,0.015722
PickyFix,4,1,160,11801,8112,1000000,0.008112
PickyFix,4,1,160,11901,4005,1000000,0.004005
PickyFix,4,1,160,12001,9364,5000000,0.0018728
PickyFix,4,1,160,12101,4214,5000000,0.0008428
PickyFix,4,1,160,12201,3571,10000000,0.0003571
PickyFix,4,1,160,12301,1412,10000000,0.0001412
PickyFix,4,1,160,12401,535,10000000,5.35e-05
PickyFix,5,1,160,10001,100000,100000,1.0
PickyFix,5,1,160,10101,99979,100000,0.99979
PickyFix,5,1,160,10201,99811,100000,0.99811
PickyFix,5,1,160,10301,98857,100000,0.98857
PickyFix,5,1,160,10401,95733,100000,0.95733
PickyFix,5,1,160,10501,88821,100000,0.88821
PickyFix,5,1,160,10601,78339,100000,0.78339
PickyFix,5,1,160,10701,64311,100000,0.64311
PickyFix,5,1,160,10801,49114,100000,0.49114
PickyFix,5,1,160,10901,35279,100000,0.35279
PickyFix,5,1,160,11001,24084,100000,0.24084
PickyFix,5,1,160,11101,15490,100000,0.1549
PickyFix,5,1,160,11201,94134,1000000,0.094134
PickyFix,5,1,160,11301,55350,1000000,0.05535
PickyFix,5,1,160,11401,30907,1000000,0.030907
PickyFix,5,1,160,11501,16413,1000000,0.016413
PickyFix,5,1,160,11601,8471,1000000,0.008471
PickyFix,5,1,160,11701,4118,1000000,0.004118
PickyFix,5,1,160,11801,1994,1000000,0.001994
PickyFix,5,1,160,11901,901,1000000,0.000901
PickyFix,5,1,160,12001,1977,5000000,0.0003954
PickyFix,5,1,160,12101,1575,1000000,0.0001575
PickyFix,5,1,160,12201,599,10000000,5.99e-05
PickyFix,5,1,160,12301,206,10000000,2.06e-05
PickyFix,5,1,160,12401,73,10000000,7.3e-06
