level,r_bits,error_weight,test,counter,n_right,n_wrong
#0,threshold=86
5,40973,264,0,0,0,0
5,40973,264,0,1,0,0
5,40973,264,0,2,0,0
5,40973,264,0,3,0,0
5,40973,264,0,4,0,0
5,40973,264,0,5,0,0
5,40973,264,0,6,0,0
5,40973,264,0,7,0,0
5,40973,264,0,8,0,0
5,40973,264,0,9,0,0
5,40973,264,0,10,0,0
5,40973,264,0,11,0,0
5,40973,264,0,12,0,0
5,40973,264,0,13,0,0
5,40973,264,0,14,0,0
5,40973,264,0,15,0,0
5,40973,264,0,16,0,0
5,40973,264,0,17,0,0
5,40973,264,0,18,0,0
5,40973,264,0,19,0,0
5,40973,264,0,20,0,0
5,40973,264,0,21,0,0
5,40973,264,0,22,0,0
5,40973,264,0,23,0,0
5,40973,264,0,24,0,0
5,40973,264,0,25,0,0
5,40973,264,0,26,0,0
5,40973,264,0,27,0,0
5,40973,264,0,28,0,0
5,40973,264,0,29,0,0
5,40973,264,0,30,0,0
5,40973,264,0,31,0,0
5,40973,264,0,32,0,0
5,40973,264,0,33,0,0
5,40973,264,0,34,2,0
5,40973,264,0,35,3,0
5,40973,264,0,36,5,0
5,40973,264,0,37,5,0
5,40973,264,0,38,16,0
5,40973,264,0,39,44,0
5,40973,264,0,40,74,0
5,40973,264,0,41,114,0
5,40973,264,0,42,165,0
5,40973,264,0,43,274,0
5,40973,264,0,44,439,0
5,40973,264,0,45,630,0
5,40973,264,0,46,893,0
5,40973,264,0,47,1243,0
5,40973,264,0,48,1697,0
5,40973,264,0,49,2188,0
5,40973,264,0,50,2767,0
5,40973,264,0,51,3317,0
5,40973,264,0,52,3882,0
5,40973,264,0,53,4346,0
5,40973,264,0,54,4970,0
5,40973,264,0,55,5350,0
5,40973,264,0,56,5591,0
5,40973,264,0,57,5720,0
5,40973,264,0,58,5572,0
5,40973,264,0,59,5156,0
5,40973,264,0,60,4827,0
5,40973,264,0,61,4374,0
5,40973,264,0,62,3938,0
5,40973,264,0,63,3328,0
5,40973,264,0,64,2733,2
5,40973,264,0,65,2178,0
5,40973,264,0,66,1610,0
5,40973,264,0,67,1319,0
5,40973,264,0,68,939,1
5,40973,264,0,69,679,2
5,40973,264,0,70,459,2
5,40973,264,0,71,298,10
5,40973,264,0,72,214,6
5,40973,264,0,73,136,5
5,40973,264,0,74,85,8
5,40973,264,0,75,52,12
5,40973,264,0,76,27,12
5,40973,264,0,77,9,14
5,40973,264,0,78,5,14
5,40973,264,0,79,5,22
5,40973,264,0,80,4,16
5,40973,264,0,81,0,21
5,40973,264,0,82,0,20
5,40973,264,0,83,0,19
5,40973,264,0,84,0,18
5,40973,264,0,85,0,15
5,40973,264,0,86,0,8
5,40973,264,0,87,0,6
5,40973,264,0,88,0,11
5,40973,264,0,89,0,6
5,40973,264,0,90,0,3
5,40973,264,0,91,0,4
5,40973,264,0,92,0,3
5,40973,264,0,93,0,1
5,40973,264,0,94,0,1
5,40973,264,0,95,0,1
5,40973,264,0,96,0,1
5,40973,264,0,97,0,0
5,40973,264,0,98,0,0
5,40973,264,0,99,0,0
5,40973,264,0,100,0,0
5,40973,264,0,101,0,0
5,40973,264,0,102,0,0
5,40973,264,0,103,0,0
5,40973,264,0,104,0,0
5,40973,264,0,105,0,0
5,40973,264,0,106,0,0
5,40973,264,0,107,0,0
5,40973,264,0,108,0,0
5,40973,264,0,109,0,0
5,40973,264,0,110,0,0
5,40973,264,0,111,0,0
5,40973,264,0,112,0,0
5,40973,264,0,113,0,0
5,40973,264,0,114,0,0
5,40973,264,0,115,0,0
5,40973,264,0,116,0,0
5,40973,264,0,117,0,0
5,40973,264,0,118,0,0
5,40973,264,0,119,0,0
5,40973,264,0,120,0,0
5,40973,264,0,121,0,0
5,40973,264,0,122,0,0
5,40973,264,0,123,0,0
5,40973,264,0,124,0,0
5,40973,264,0,125,0,0
5,40973,264,0,126,0,0
5,40973,264,0,127,0,0
5,40973,264,0,128,0,0
5,40973,264,0,129,0,0
5,40973,264,0,130,0,0
5,40973,264,0,131,0,0
5,40973,264,0,132,0,0
5,40973,264,0,133,0,0
5,40973,264,0,134,0,0
5,40973,264,0,135,0,0
5,40973,264,0,136,0,0
5,40973,264,0,137,0,0
#1,threshold=86
5,40973,264,1,0,0,0
5,40973,264,1,1,0,0
5,40973,264,1,2,0,0
5,40973,264,1,3,0,0
