decoder,n_iterations,level,error_weight,r_bits,n_failures,n_tests,dfr
PickyFix,2,1,134,9001,10000,10000,1.0
PickyFix,2,1,134,9101,10000,10000,1.0
PickyFix,2,1,134,9201,10000,10000,1.0
PickyFix,2,1,134,9301,10000,10000,1.0
PickyFix,2,1,134,9401,9999,10000,0.9999
PickyFix,2,1,134,9501,99956,100000,0.99956
PickyFix,2,1,134,9601,98948,100000,0.98948
PickyFix,2,1,134,9701,92116,100000,0.92116
PickyFix,2,1,134,9801,70009,100000,0.70009
PickyFix,2,1,134,9901,35510,100000,0.3551
PickyFix,2,1,134,10001,115815,1000000,0.115815
PickyFix,2,1,134,10101,25564,1000000,0.025564
PickyFix,2,1,134,10201,3813,1000000,0.003813
PickyFix,2,1,134,10301,4460,10000000,0.000446
PickyFix,2,1,134,10351,1385,10000000,0.0001385
PickyFix,2,1,134,10401,4474,100000000,4.474e-05
PickyFix,2,1,134,10451,1268,100000000,1.268e-05
PickyFix,2,1,134,10501,354,100000000,3.54e-06
PickyFix,3,1,134,9001,10000,10000,1.0
PickyFix,3,1,134,9101,10000,10000,1.0
PickyFix,3,1,134,9201,10000,10000,1.0
PickyFix,3,1,134,9301,10000,10000,1.0
PickyFix,3,1,134,9401,9997,10000,0.9997
PickyFix,3,1,134,9501,99576,100000,0.99576
PickyFix,3,1,134,9601,94201,100000,0.94201
PickyFix,3,1,134,9701,69972,100000,0.69972
PickyFix,3,1,134,9801,29194,100000,0.29194
PickyFix,3,1,134,9901,64616,1000000,0.064616
PickyFix,3,1,134,10001,8216,1000000,0.008216
PickyFix,3,1,134,10051,23736,10000000,0.0023736
PickyFix,3,1,134,10101,6289,10000000,0.0006289
PickyFix,3,1,134,10151,15157,100000000,0.00015157
PickyFix,3,1,134,10201,3593,100000000,3.593e-05
PickyFix,3,1,134,10251,778,100000000,7.78e-06
PickyFix,3,1,134,10301,894,500000000,1.788e-06
PickyFix,4,1,134,9001,10000,10000,1.0
PickyFix,4,1,134,9101,10000,10000,1.0
PickyFix,4,1,134,9201,10000,10000,1.0
PickyFix,4,1,134,9301,10000,10000,1.0
PickyFix,4,1,134,9401,10000,10000,1.0
PickyFix,4,1,134,9501,98954,100000,0.98954
PickyFix,4,1,134,9601,87507,100000,0.87507
PickyFix,4,1,134,9701,48880,100000,0.4888
PickyFix,4,1,134,9801,11983,100000,0.11983
PickyFix,4,1,134,9901,14950,1000000,0.01495
PickyFix,4,1,134,9951,4222,1000000,0.004222
PickyFix,4,1,134,10001,9310,10000000,0.000931
PickyFix,4,1,134,10051,1959,10000000,0.0001959
PickyFix,4,1,134,10101,3816,100000000,3.816e-05
PickyFix,4,1,134,10151,737,100000000,7.37e-06
PickyFix,5,1,134,9001,10000,10000,1.0
PickyFix,5,1,134,9101,10000,10000,1.0
PickyFix,5,1,134,9201,10000,10000,1.0
PickyFix,5,1,134,9301,10000,10000,1.0
PickyFix,5,1,134,9401,9995,10000,0.9995
PickyFix,5,1,134,9501,98391,100000,0.98391
PickyFix,5,1,134,9601,81390,100000,0.8139
PickyFix,5,1,134,9701,35306,100000,0.35306
PickyFix,5,1,134,9801,60498,1000000,0.060498
PickyFix,5,1,134,9901,47651,10000000,0.0047651
PickyFix,5,1,134,10001,18469,100000000,0.00018469
PickyFix,5,1,134,10051,3221,100000000,3.221e-05
PickyFix,5,1,134,10101,544,100000000,5.44e-06
PickyFix,2,3,199,19001,10000,10000,1.0
PickyFix,2,3,199,19101,9999,10000,0.9999
PickyFix,2,3,199,19201,9993,10000,0.9993
PickyFix,2,3,199,19301,9897,10000,0.9897
PickyFix,2,3,199,19401,9469,10000,0.9469
PickyFix,2,3,199,19501,8080,10000,0.808
PickyFix,2,3,199,19601,28309,50000,0.56618
PickyFix,2,3,199,19701,15321,50000,0.30642
PickyFix,2,3,199,19801,12247,100000,0.12247
PickyFix,2,3,199,19901,18065,500000,0.03613
PickyFix,2,3,199,20001,8609,1000000,0.008609
PickyFix,2,3,199,20101,8896,5000000,0.0017792
PickyFix,2,3,199,20151,1997,2500000,0.0007988
PickyFix,2,3,199,20201,8433,25000000,0.00033732
PickyFix,2,3,199,20251,3463,25000000,0.00013852
PickyFix,2,3,199,20301,2722,50000000,5.444e-05
PickyFix,2,3,199,20351,2036,100000000,2.036e-05
PickyFix,2,3,199,20401,774,100000000,7.74e-06
