implementation,decoder,level,n_iterations,r_bits,cycles
avx512,BGF,1,5,12323,1323322.26
avx512,BGF,3,5,24659,4130087.30
avx512,BGF,5,5,40973,11497287.50
portable,BGF,1,5,12323,10955732.24
portable,BGF,3,5,24659,32982825.44
portable,BGF,5,5,40973,94902235.78
avx512,PickyFix,1,2,13829,1117958.12
avx512,PickyFix,1,3,13109,1221820.82
avx512,PickyFix,1,4,12739,1327721.30
avx512,PickyFix,1,5,12413,1442975.52
avx512,PickyFix,3,2,27397,3196843.66
avx512,PickyFix,3,3,25867,3577988.50
avx512,PickyFix,3,4,25189,3935606.14
avx512,PickyFix,3,5,24677,4350719.42
avx512,PickyFix,5,2,41411,7843854.68
avx512,PickyFix,5,3,39901,8928026.16
avx512,PickyFix,5,4,39163,10136051.62
avx512,PickyFix,5,5,39019,11494770.20
portable,PickyFix,1,2,13829,9088161.72
portable,PickyFix,1,3,13109,10244536.62
portable,PickyFix,1,4,12739,11465955.28
portable,PickyFix,1,5,12413,12859593.42
portable,PickyFix,3,2,27397,25221597.72
portable,PickyFix,3,3,25867,28879873.64
portable,PickyFix,3,4,25189,32580637.08
portable,PickyFix,3,5,24677,36715044.44
portable,PickyFix,5,2,41411,65388610.12
portable,PickyFix,5,3,39901,76892363.88
portable,PickyFix,5,4,39163,87393963.64
portable,PickyFix,5,5,39019,99706188.76
